"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.203475788235664,0.00362196285277605,0.00161469710988703,0.000512779611348454,1.90964489707508e-24
6,0.211719244718552,0.0123859606683254,0.00791997043990584,0.00443665163476105,5.20651670958206e-21
9,0.216463625431061,0.0254649836570024,0.0185760299098128,0.0124926951660948,4.65802411829956e-19
12,0.219794139266014,0.0418874323368073,0.0328853740837989,0.0242304533919108,1.04395437629276e-17
15,0.222356542944908,0.0603437796235085,0.0496913887374965,0.0387543337682538,1.10697955018166e-16
18,0.224436730146408,0.079580657184124,0.0677345306211646,0.0549262195319732,7.32125834058321e-16
21,0.226185858249664,0.0985758230090141,0.0859150080972145,0.0716597814251735,3.51193920678557e-15
24,0.227693796157837,0.116586357355118,0.103391675054217,0.088072945992717,1.33297303858866e-14
27,0.229018300771713,0.13313515484333,0.119594706555107,0.103531084933481,4.2353317711687e-14
30,0.230198636651039,0.147972971200943,0.134197260256856,0.117636363586006,1.17060508964158e-13
33,0.231262728571892,0.161025121808052,0.147068345631587,0.130191398701817,2.89226243866195e-13
36,0.232231125235558,0.17233894765377,0.158218940541527,0.141151373251961,6.5161331191943e-13
39,0.233119368553162,0.182038590312004,0.167753244614309,0.15057693990759,1.35893130515791e-12
42,0.233939543366432,0.190287917852402,0.175827733886549,0.158593062356576,2.65513175681797e-12
45,0.234701201319695,0.197266176342964,0.182621176356528,0.165356722404106,4.90550395443323e-12
48,0.235411986708641,0.203150600194931,0.18831465412565,0.171034467662608,8.63454880511982e-12
51,0.236078187823296,0.208106309175491,0.19307818737379,0.175787696229314,1.45682632624045e-11
54,0.236704975366592,0.212281301617622,0.197064047759729,0.179764228151924,2.36798913810787e-11
57,0.237296685576439,0.21580445766449,0.200405068758551,0.183094472607012,3.72383165969659e-11
60,0.237856969237328,0.218786090612411,0.203214178037632,0.185890286388838,5.68580911519678e-11
63,0.238388940691948,0.221319302916527,0.205585793264876,0.188245960016778,8.45493675072362e-11
66,0.238895297050476,0.223481714725494,0.207598177181915,0.190240023244367,1.22766921628603e-10
69,0.239378333091736,0.225337699055672,0.209315634448043,0.191937201733785,1.7445751787637e-10
72,0.239840060472488,0.226940304040909,0.210790735326611,0.193390527721352,2.43104342212419e-10
75,0.240282267332077,0.228333160281181,0.212066327457222,0.194643330598298,3.32768257393923e-10
78,0.240706503391266,0.229552075266838,0.213177378096551,0.19573087853947,4.48124592988819e-10
81,0.241114139556885,0.230626329779625,0.214152314828894,0.196681909936666,5.94496007977341e-10
84,0.241506412625313,0.231579974293709,0.215014225000564,0.197519811641608,7.7788020469427e-10
87,0.241884425282478,0.232432723045349,0.215782024073549,0.198263640392422,1.00497288268997e-09
90,0.242249146103859,0.233200713992119,0.216471101257455,0.19892894504075,1.28318544678763e-09
93,0.242601454257965,0.233897179365158,0.217094105004832,0.19952843620064,1.62065927344912e-09
96,0.242942184209824,0.234532564878464,0.217660926058034,0.200072321072994,2.02627270518008e-09
99,0.243272021412849,0.235115826129913,0.218179871453917,0.200568844533169,2.50964471426585e-09
102,0.243591651320457,0.235654458403587,0.218657952727163,0.201024965843674,3.08113512481611e-09
105,0.243901684880257,0.236154720187187,0.219100969263197,0.201446546551436,3.75183883960517e-09
108,0.244202643632889,0.236621767282486,0.219513809216361,0.201838423951387,4.53358062202369e-09
111,0.244495049118996,0.237059950828552,0.219900465050287,0.202204652668659,5.4388995529564e-09
114,0.244779363274574,0.237472891807556,0.220264317502934,0.202548545628666,6.48103926081944e-09
117,0.245056018233299,0.237863630056381,0.220608183620475,0.202872928354149,7.67392815959056e-09
120,0.245325401425362,0.238234758377075,0.220934394459171,0.203180127663084,9.03216168524068e-09
135,0.246575191617012,0.239861831068993,0.222361462863909,0.204518518449368,1.88582660598513e-08
150,0.247688353061676,0.241219639778137,0.223550064213141,0.205627863885723,3.53495046567787e-08
165,0.248691409826279,0.242396920919418,0.224580415097474,0.206586844891149,6.09282508889919e-08
180,0.249603852629662,0.243441745638847,0.22549549736884,0.20743705457315,9.82254562131857e-08
195,0.250440448522568,0.244383156299591,0.226321027522462,0.208203166809059,1.4998593655946e-07
210,0.251212656497955,0.245240479707718,0.22707395304374,0.208901281427451,2.18980446220485e-07
225,0.251929491758347,0.24602746963501,0.22776629229365,0.209542819191246,3.07930065446271e-07
240,0.252598285675049,0.246754586696625,0.22840711378743,0.210136291987699,4.19445257193729e-07
255,0.253224909305573,0.247430041432381,0.229003533604102,0.210688375114285,5.55980591343541e-07
270,0.253814280033112,0.248060494661331,0.22956130026968,0.211204470970484,7.1980429083851e-07
285,0.254370540380478,0.24865148961544,0.230085153598564,0.211689018452522,9.12982727641065e-07
300,0.254897117614746,0.249207690358162,0.230579145390363,0.212145769854599,1.13737837637018e-06
315,0.255396962165833,0.249733135104179,0.231046724195582,0.212577964638536,1.39465635129454e-06
330,0.255872637033463,0.250231325626373,0.231490910498031,0.212988418437745,1.68630026564642e-06
345,0.256326287984848,0.250705301761627,0.231914346161472,0.213379549899693,2.01363468477211e-06
360,0.256759822368622,0.251157879829407,0.232319394735679,0.213753613791525,2.37785070567043e-06
375,0.257174968719482,0.251591414213181,0.232708142869194,0.214112498975194,2.780035856631e-06
390,0.257573127746582,0.252008140087128,0.233082502028152,0.214458010959731,3.22120240525692e-06
405,0.25795567035675,0.252410024404526,0.233444133619925,0.214791686829508,3.70231600754778e-06
420,0.258323699235916,0.252798855304718,0.233794593094782,0.215114956299031,4.22432322011446e-06
435,0.258678287267685,0.253176182508469,0.234135264958865,0.215429100742862,4.78817719340441e-06
450,0.259020328521729,0.253543466329575,0.234467381140088,0.215735298403986,5.39485608896939e-06
465,0.259350657463074,0.253902018070221,0.234792070434788,0.216034559406781,6.04538035986479e-06
480,0.259670078754425,0.254253000020981,0.235110318950401,0.21632783453965,6.74082866680692e-06
495,0.259979248046875,0.254597425460815,0.235423052045624,0.216615953093518,7.4823442446359e-06
510,0.260278761386871,0.254936248064041,0.235731050977495,0.216899648291534,8.27114217827329e-06
525,0.260569214820862,0.255270272493362,0.236035022126698,0.217179594020874,9.10850849322742e-06
540,0.260851144790649,0.255600243806839,0.236335615363466,0.217456369513699,9.99580061034067e-06
555,0.261124968528748,0.255926728248596,0.236633315264947,0.217730476300296,1.09344391603372e-05
570,0.261391162872314,0.256250351667404,0.236928644552849,0.218002346685643,1.19259038910968e-05
585,0.261650115251541,0.256571531295776,0.237222005864161,0.218272353638742,1.2971718206245e-05
600,0.261902183294296,0.256890654563904,0.237513681751159,0.218540823507471,1.40734400702058e-05
615,0.262147724628448,0.257208049297333,0.237803997148957,0.218808010588875,1.52326492752763e-05
630,0.262387067079544,0.257524013519287,0.23809315266967,0.219074092890888,1.64509274327429e-05
645,0.262620478868484,0.257838726043701,0.238381326321231,0.219339269612862,1.7729849787429e-05
660,0.262848228216171,0.258151888847351,0.238668335857423,0.219603471529491,1.90709615708329e-05
675,0.263070613145828,0.258462250232697,0.238953038354297,0.219865565606155,2.04757670871913e-05
690,0.26328781247139,0.258769869804382,0.239235381539682,0.220125523587628,2.19457142520696e-05
705,0.263500064611435,0.259074926376343,0.239515537770466,0.220383400571602,2.34821800404461e-05
720,0.26370757818222,0.259377509355545,0.239793538127399,0.220639343485259,2.50864504778292e-05
