"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150274753570557,0.00261722458526492,0.00113507215823387,0.00036116201452028,6.74878393025628e-26
6,0.158266946673393,0.00906576216220856,0.00551123267814235,0.00309616509976364,1.8625008496623e-22
9,0.162979230284691,0.0187935996800661,0.0128658587536692,0.00866548248485552,1.67769450384601e-20
12,0.166339114308357,0.0311077442020178,0.0227389194055288,0.0167634505817928,3.77950402404054e-19
15,0.168954253196716,0.0450434871017933,0.0343604852931851,0.0267951432544931,4.02348053212275e-18
18,0.171097204089165,0.059661652892828,0.046885133501276,0.0379993872918358,2.66913482005753e-17
21,0.172913208603859,0.0741847828030586,0.0595675878608146,0.0496434464155012,1.28464074040131e-16
24,0.174489304423332,0.0880392640829086,0.0718319553597577,0.0611270096666648,4.88902123199262e-16
27,0.175881877541542,0.100849881768227,0.0832841041841977,0.0720137311269953,1.55659435299336e-15
30,0.177129417657852,0.112411759793758,0.0936931932762074,0.0820261586792689,4.31116519098037e-15
33,0.178259372711182,0.122653104364872,0.102959170522349,0.0910209265357897,1.06727820008948e-14
36,0.179292216897011,0.131596833467484,0.111077779625804,0.0989573561754456,2.40795559625648e-14
39,0.180243402719498,0.139325603842735,0.118107891412446,0.105865485907088,5.02879022332234e-14
42,0.181124955415726,0.145955413579941,0.124144838666354,0.111819401996548,9.83716892124196e-14
45,0.181946396827698,0.151616245508194,0.129300672083286,0.116916361408893,1.81936470012786e-13
48,0.182715490460396,0.156438305974007,0.133690681467628,0.121261719410555,3.2052187510026e-13
51,0.183438524603844,0.160543993115425,0.13742497108316,0.124959236613569,5.41182170691462e-13
54,0.184120714664459,0.164043933153152,0.14060392468905,0.128105444176846,8.80188825470862e-13
57,0.184766471385956,0.167035236954689,0.143316219903754,0.130786742700705,1.38483050981381e-12
60,0.185379520058632,0.169601306319237,0.145638315372635,0.133078447553367,2.11525545343316e-12
63,0.185963004827499,0.171812906861305,0.147635146906129,0.135045031512732,3.14631979324298e-12
66,0.186519682407379,0.173729375004768,0.149361378833128,0.136740939576487,4.56939434206882e-12
69,0.187051922082901,0.175400123000145,0.150862563171687,0.138211682439419,6.49409519215549e-12
72,0.187561765313148,0.176866069436073,0.152176458794951,0.139495095263785,9.04989885114338e-12
75,0.18805105984211,0.178161039948463,0.153334226627275,0.140622453407613,1.23876299842895e-11
78,0.188521385192871,0.179312884807587,0.154361511466244,0.141619551068001,1.6680809511449e-11
81,0.188974186778069,0.180344581604004,0.155279443277293,0.142507641120625,2.21268003919306e-11
84,0.189410716295242,0.181275084614754,0.156105419157128,0.143304208606584,2.89477625897705e-11
87,0.189832106232643,0.182120010256767,0.156853760267759,0.14402365733443,3.73914371687434e-11
90,0.190239384770393,0.18289215862751,0.157536271290006,0.144677849201819,4.77317317615356e-11
93,0.190633475780487,0.183602169156075,0.158162700277326,0.145276570406762,6.0269150781167e-11
96,0.19101519882679,0.184258878231049,0.158741121160949,0.1458279128932,7.53309983836381e-11
99,0.191385313868523,0.184869647026062,0.159278218774489,0.146338585864879,9.32714253054634e-11
102,0.1917445063591,0.185440570116043,0.159779597189113,0.14681415630798,1.14471307433028e-10
105,0.192093431949615,0.185976773500443,0.160249895206779,0.147259286335024,1.39337985594068e-10
108,0.192432627081871,0.186482518911362,0.160692992976593,0.147677862452542,1.68304800651775e-10
111,0.192762643098831,0.18696141242981,0.161112165632599,0.148073124828736,2.01830607782227e-10
114,0.193083971738815,0.187416508793831,0.161510215740167,0.14844783046742,2.40399034012739e-10
117,0.193397045135498,0.187850385904312,0.161889449985424,0.148804284995152,2.84517742699109e-10
120,0.193702280521393,0.188265234231949,0.162251875195897,0.149144471928894,3.34717531469408e-10
