"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150211602449417,0.00261607975699008,0.00113717906969412,0.000361509992546013,6.76620543031002e-26
6,0.158203721046448,0.00906189531087875,0.00554041882699464,0.00310845961695884,1.86206060216831e-22
9,0.162916049361229,0.0187857747077942,0.0129694483774296,0.00872437791264346,1.67633660285998e-20
12,0.166275873780251,0.0310950521379709,0.0229701962120411,0.0169158106706043,3.7806382954555e-19
15,0.16889114677906,0.0450254678726196,0.0347624285296018,0.0270850185771244,4.02006220824137e-18
18,0.171034082770348,0.059638150036335,0.0474814553076273,0.03845631908588,2.6673825206479e-17
21,0.172850072383881,0.0741559341549873,0.0603617223068014,0.0502786616306755,1.28425388457243e-16
24,0.174426168203354,0.0880055278539658,0.0728117772443238,0.0619355805030121,4.8867559482543e-16
27,0.175818756222725,0.100811697542667,0.0844278009132731,0.0729793309194415,1.5558329762529e-15
30,0.17706623673439,0.112369604408741,0.0949740922683104,0.0831262333989172,4.31042022550326e-15
33,0.17819619178772,0.122607618570328,0.104350420128494,0.0922310483023807,1.06687425007693e-14
36,0.17922905087471,0.131548494100571,0.112555009182568,0.100254337866393,2.40696626177409e-14
39,0.180180251598358,0.139274746179581,0.119650528288753,0.1072291029604,5.02661538152697e-14
42,0.181061789393425,0.145902544260025,0.125736498715402,0.113233001134382,9.8330604726346e-14
45,0.181883245706558,0.151561751961708,0.130928603367756,0.118366863286482,1.81860697833457e-13
48,0.182652339339256,0.156382456421852,0.135345031036533,0.122739217038789,3.20390307166629e-13
51,0.183375358581543,0.160487040877342,0.139098477696247,0.126456355378094,5.40961915020122e-13
54,0.18405756354332,0.163986101746559,0.14229136254201,0.129616802516414,8.79833423998722e-13
57,0.184703320264816,0.166976675391197,0.145013790434453,0.132308450930071,1.38427463935997e-12
60,0.185316368937492,0.169542163610458,0.147343318794093,0.134607720060301,2.1144108599408e-12
63,0.18589985370636,0.171753287315369,0.14934567916921,0.136579878422842,3.14506884077637e-12
66,0.18645653128624,0.173669368028641,0.151076094282626,0.138279908217896,4.56758415812164e-12
69,0.186988770961761,0.175339788198471,0.152580496538397,0.139753750326084,6.49152866877278e-12
72,0.187498614192009,0.176805481314659,0.153896854604729,0.141039517517274,9.0463261881446e-12
75,0.18798790872097,0.178100228309631,0.155056509533053,0.142168686467988,1.23827536765986e-11
78,0.188458234071732,0.179251879453659,0.15608529684374,0.143167191238701,1.66742696039446e-11
81,0.188911035656929,0.180283457040787,0.157004445042329,0.144056391721761,2.21181614690202e-11
84,0.189347565174103,0.181213870644569,0.157831391489225,0.144853852426097,2.89364972955175e-11
87,0.189768955111504,0.182058677077293,0.158580525158985,0.1455740195431,3.73769244721434e-11
90,0.190176233649254,0.182830736041069,0.159263689936557,0.146228809008548,4.77132569565164e-11
93,0.190570324659348,0.183540657162666,0.159890663543384,0.146828030331017,6.02458846699072e-11
