"Population","N","5th percentile","25th percentile","50th percentile","75th percentile","95th percentile","mean","standard deviation","geo mean","geo standard deviation"
"Larson 2013 8y-18y 400mg FCT meal",500,86.6304616683519,133.654368908936,189.562044802083,263.512599452093,448.022928789609,218.903358553518,129.116196986567,191.122107311035,1.66636659882042
"Filmcoated_tablet_400mg_sd",100,19.5748376736911,25.7962193903269,32.3481521693323,41.9136514700811,62.6760116510282,35.3857729235457,14.2064490635544,33.0104656641799,1.44411311482013
