"Population","N","5th percentile","25th percentile","50th percentile","75th percentile","95th percentile","mean","standard deviation","geo mean","geo standard deviation"
"Larson 2013 8y-18y 400mg FCT meal",500,7207.27778699143,9378.91744471189,11615.2045428429,14388.9539871173,19343.0946824158,12199.8651179596,3756.55252226945,11656.084165552,1.35327674899166
"Filmcoated_tablet_400mg_sd",100,6449.27380676468,8248.73027449555,9637.50725156272,11717.0054146879,14901.1053005497,10129.6995244385,2672.29244315361,9784.55730656559,1.30560554786504
